,game,number of moves,faulty_move,moves place in top 10,moves score (centipawns),Comments
0,1.e4 1...e5 2.Nf3 2...Bd6 3.Nc3 3...Bb4 4.Bd3 4...Bc5,3.0,Bxc5,"[2, 'None', 1, 'None', 14, 'None']","[49, 'None', 550, 'None', 50, 'None']",moves bishop wrongly
1,1.e4 1...e5 2.Nf3 2...Bc5 3.Bc4 3...Kf8 4.d4 4...Bb6 5.Bd3 5...Nf6 6.Nc3 6...Kg8 7.Qe2 7...d6,6.0,Qg4,"[2, 'None', 7, 'None', 2, 'None', 20, 'None', 13, 'None', 16, 'None']","[49, 'None', 34, 'None', 222, 'None', 108, 'None', 77, 'None', 47, 'None']",skips piece
2,1.e4 1...e5 2.Nf3 2...d5 3.exd5 3...Na6 4.d4 4...g5 5.dxe5 5...Qd7 6.Nc3 6...h5,5.0,Bxh5,"[2, 'None', 3, 'None', 5, 'None', 2, 'None', 4, 'None']","[49, 'None', 71, 'None', 183, 'None', 432, 'None', 443, 'None']",moves bishop wrongly
3,1.e4 1...e5 2.Nf3 2...Na6 3.Bc4 3...d6 4.d4 4...g5 5.dxe5 5...dxe5 6.Nc3 6...Bc5 7.Bxf7+ 7...Ke7 8.Qd5+ 8...c6 9.Qxc6+ 9...Qd1+ 10.Kxd1# 10...Nh6 11.Qd7# 11...Kf6,10.0,Qf7#,"[2, 'None', 13, 'None', 1, 'None', 4, 'None', 16, 'None', 1, 'None', 7, 'None', 13, 'None', 2, 'None', 18, 'None']","[49, 'None', 61, 'None', 344, 'None', 304, 'None', 147, 'None', 761, 'None', 292, 'None', -257, 'None', 381, 'None', 479, 'None']",skips piece
4,1.e4 1...e5 2.Nf3 2...Nc6 3.Bb5 3...Rb8 4.Bxc6 4...b6 5.Bd5 5...c6,4.0,Bd5,"[2, 'None', 3, 'None', 12, 'None', 1, 'None']","[49, 'None', 17, 'None', 23, 'None', 740, 'None']",moves bishop wrongly
5,1.e4 1...e5 2.Nf3 2...c5 3.d4 3...b6 4.dxc5 4...a6 5.a4 5...Ra7 6.Bxa6 6...f5 7.Bb7 7...Rxa4 8.Bd5 8...fxe4,7.0,Nxe4,"[2, 'None', -100, 'None', 4, 'None', 16, 'None', -100, 'None', -100, 'None', 3, 'None']","[49, 'None', -100, 'None', 163, 'None', 162, 'None', -100, 'None', -100, 'None', -31, 'None']",moves knight wrongly
6,1.e4 1...e5 2.Nf3 2...h5 3.Nxe5 3...h4 4.Nf7 4...g5 5.Nxh8 5...g4 6.Nf7 6...Na6,5.0,Nxg4,"[2, 'None', 1, 'None', 13, 'None', 1, 'None', 7, 'None']","[49, 'None', 176, 'None', 141, 'None', 769, 'None', 588, 'None']",moves knight wrongly
7,1.e4 1...e5 2.Nf3 2...g6 3.d4 3...h6 4.dxe5 4...Be7 5.Nc3 5...b5 6.a4 6...Na6 7.axb5 7...Bf6 8.Bd3 8...Bb7 9.Qe2 9...Nb8,8.0,Qa6,"[2, 'None', 2, 'None', 2, 'None', 5, 'None', 7, 'None', 1, 'None', 14, 'None', 9, 'None']","[49, 'None', 147, 'None', 320, 'None', 335, 'None', 350, 'None', 894, 'None', 713, 'None', 724, 'None']",skips piece
8,1.e4 1...e5 2.Nf3 2...Qf6 3.Qe2 3...g6,2.0,Qf3,"[2, 'None', 8, 'None']","[49, 'None', 92, 'None']",skips piece
9,1.e4 1...e5 2.Nf3 2...g6 3.d4 3...f5 4.dxe5 4...c5 5.Nc3 5...d6 6.Bb5+ 6...Nd7 7.Qd4 7...a5 8.Bxd7+ 8...Ke7,7.0,Qe5+,"[2, 'None', 2, 'None', 5, 'None', 2, 'None', 2, 'None', -100, 'None', 8, 'None']","[49, 'None', 147, 'None', 187, 'None', 435, 'None', 441, 'None', -100, 'None', 226, 'None']",skips piece
10,1.e4 1...e5 2.Nf3 2...b6 3.Bb5 3...a5 4.Ba4 4...b5 5.Bb3 5...f6 6.d4 6...Bb7 7.dxe5 7...Na6 8.Nc3 8...Bc6 9.Qd4 9...h5 10.Qd3 10...Bc5,9.0,Qd8#,"[2, 'None', 4, 'None', 10, 'None', 2, 'None', 3, 'None', 3, 'None', 1, 'None', 15, 'None', 19, 'None']","[49, 'None', 104, 'None', 68, 'None', -6, 'None', 166, 'None', 239, 'None', 273, 'None', 249, 'None', 189, 'None']",skips piece
11,1.e4 1...e5 2.Nf3 2...a6 3.Bc4 3...Bc5 4.d4 4...h6 5.Nc3 5...Qe7 6.Nd5 6...b6 7.Bb3 7...Qd8 8.dxc5 8...a5,7.0,Bd5,"[2, 'None', 3, 'None', 2, 'None', 11, 'None', 1, 'None', 1, 'None', 3, 'None']","[49, 'None', 71, 'None', 139, 'None', 101, 'None', 696, 'None', 716, 'None', 764, 'None']",moves bishop wrongly
12,1.e4 1...e5 2.Nf3 2...a6 3.d4 3...Bd6 4.Bd3 4...Nc6 5.Nc3 5...h6 6.Be3 6...Nce7 7.d5 7...Bc5,6.0,dxe6,"[2, 'None', 4, 'None', -100, 'None', 19, 'None', 1, 'None', -100, 'None']","[49, 'None', 61, 'None', -100, 'None', -8, 'None', 93, 'None', -100, 'None']",moves pawn wrongly
