Question,Category,Success,runtime beats,memory beats,Level,Calls library?,success 2nd try,,Language,why fail
Remove Duplicates from Sorted Array,Array,Yes,83.95,49.52,Easy,,,,Python,
Best Time to Buy and Sell Stock II,Array,Yes,57.68,18.62,Easy,,,,Python,
Rotate Array,Array,Yes,75.45,26.39,Easy,,,,Python,
Contains Duplicate,Array,Yes,77.85,59.89,Easy,,,,Python,
Single Number,Array,Yes,71.58,44.82,Easy,,,,Python,
Intersection of Two Arrays II,Array,Yes,63.94,UC,Easy,Yes,,,Python,
Plus One,Array,Yes,92.29,48.76,Easy,,,,Python,
Move Zeroes,Array,Yes,93.29,UC,Easy,Yes,,,Python,
Two Sum,Array,Yes,79.11,58.27,Easy,,,,Python,
Valid Sudoku,Array,Yes,97.2,73.08,Easy,,,,Python,
Rotate Image ,Array,Yes,61.71,64.21,Easy,,,,Python,
Shuffle an Array,Design,Yes,41.85,15.5,Easy,,,,Python,
Min Stack,Design,Yes,86.93,93.31,Easy,,,,Python,
Fizz Buzz,Math,Yes,49.43,33.31,Easy,,,,Python,
CountPrimes,Math,Yes,94.65,29.31,Easy,,,,Python,
Power of three,Math,Yes,43.81,93.53,Easy,,,,Python,
Roman to Integer,Math,Yes,90.69,97.93,Easy,,,,Python,
Climbing stairs,Dynamic Programming,Yes,72.78,45.92,Easy,,,,Python,
Best Time to Buy and Sell Stock,Dynamic Programming,Yes,67.92,81.52,Easy,,,,Python,
Maximum Subarray,Dynamic Programming,Yes,56.55,83.45,Easy,,,,Python,
House Robber,Dynamic Programming,Yes,14.29,95.78,Easy,,,,Python,
Delete Node in a Linked List,Linked List,Yes,93.7,44.3,Easy,,,,Python,
Remove Nth Node from the End of the List,Linked List,Yes,69.99,,Easy,,,,Python,
Reverse Linked List,Linked List,Yes,69,89.11,Easy,,,,Python,
Merge two soorted Lists,Linked List,Yes,62.48,98.2,Easy,,,,Python,
Palindrome Linked List,Linked List,Yes,89.78,65.1,Easy,,,,Python,
Linked List Cycle,Linked List,Yes,27.77,93.68,Easy,,,,Python,
